                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1264,                0.99816,                  1.627,                0.92056,                0.81583,                0.88819,                0.59262,                 1.1632,                0.84826,                 1.7588,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1344,                 1.0014,                 1.6325,                0.90982,                0.85139,                0.92564,                0.62353,                 1.1162,                0.79818,                 1.7001,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.107,                0.94651,                 1.6078,                0.93535,                0.84468,                 0.9299,                0.62622,                   1.11,                0.76441,                 1.7093,               0.001307,               0.001307,               0.001307
                     38,                 1.1062,                0.95699,                 1.6166,                0.91086,                0.87062,                0.93529,                0.62296,                 1.1349,                0.80325,                 1.7087,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1087,                0.97691,                 1.6064,                0.92431,                0.86582,                0.92619,                0.62003,                 1.1414,                0.77761,                 1.6993,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1106,                0.95654,                 1.6055,                 0.9106,                0.86682,                0.93219,                0.63432,                 1.0963,                0.78873,                 1.6716,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0949,                0.96268,                  1.602,                0.92401,                0.86179,                0.93439,                0.63886,                 1.0841,                0.74614,                 1.6548,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0857,                0.93611,                 1.5908,                0.92886,                0.87387,                0.93584,                0.64142,                  1.099,                0.72297,                 1.6677,               0.001208,               0.001208,               0.001208
                     43,                 1.1068,                0.93859,                 1.6111,                0.93116,                 0.8732,                0.94186,                0.64891,                 1.0809,                 0.7202,                 1.6351,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0831,                0.92566,                 1.5895,                0.93421,                 0.8638,                0.92839,                0.63476,                   1.08,                0.71196,                 1.6566,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0694,                0.90516,                 1.5732,                0.91861,                0.87835,                0.93624,                0.65115,                 1.0483,                0.68906,                 1.6329,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0708,                0.90243,                 1.5708,                0.92202,                0.87487,                0.93828,                0.65277,                 1.0643,                0.69961,                 1.6311,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0695,                0.92102,                 1.5766,                0.92323,                0.88192,                 0.9437,                  0.657,                 1.0709,                0.69626,                 1.6295,               0.001109,               0.001109,               0.001109
                     48,                  1.068,                0.90836,                 1.5785,                 0.9343,                0.87774,                0.94425,                0.65781,                  1.068,                0.69749,                 1.6224,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0619,                0.89103,                 1.5617,                 0.9338,                0.88997,                0.94192,                0.63676,                 1.1246,                0.66548,                 1.6955,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0474,                0.87687,                 1.5583,                0.92764,                0.88589,                0.94454,                0.65699,                 1.0365,                0.68243,                 1.5975,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0507,                0.88751,                 1.5588,                0.94256,                0.88762,                0.94033,                0.66446,                 1.0405,                0.66096,                 1.6034,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0392,                0.87807,                 1.5506,                0.93856,                 0.8836,                0.94671,                 0.6717,                 1.0241,                0.66289,                 1.5884,                0.00101,                0.00101,                0.00101
                     53,                 1.0287,                0.85255,                 1.5373,                0.92736,                0.89299,                0.95013,                0.67315,                 1.0312,                0.65207,                 1.5726,              0.0009902,              0.0009902,              0.0009902
